region,year,month,variable,value
LIMA,2003,Oct,pr,1.0301447
LIMA,2003,Oct,tmmx,22.34417886
LIMA,2003,Nov,pr,0.3668698
LIMA,2003,Nov,tmmx,23.66619365
LIMA,2003,Dec,pr,1.9582181
LIMA,2003,Dec,tmmx,26.00484173
LIMA,2004,Jan,pr,0.0306817
LIMA,2004,Jan,tmmx,26.74844256
LIMA,2004,Feb,pr,0.1120614
LIMA,2004,Feb,tmmx,27.84093981
LIMA,2004,Mar,pr,0.0807327
LIMA,2004,Mar,tmmx,27.48834
LIMA,2004,Apr,pr,1.2067401
LIMA,2004,Apr,tmmx,25.699351630000002
LIMA,2004,May,pr,0
LIMA,2004,May,tmmx,22.32613405
LIMA,2004,Jun,pr,0
LIMA,2004,Jun,tmmx,20.066510460000003
LIMA,2004,Jul,pr,0
LIMA,2004,Jul,tmmx,19.09907925
LIMA,2004,Aug,pr,0
LIMA,2004,Aug,tmmx,19.13542943
LIMA,2004,Sep,pr,0
LIMA,2004,Sep,tmmx,20.092949630000003
LIMA,2004,Oct,pr,0
LIMA,2004,Oct,tmmx,21.70822227
LIMA,2004,Nov,pr,0.3988053
LIMA,2004,Nov,tmmx,22.94318214
LIMA,2004,Dec,pr,0.003207
LIMA,2004,Dec,tmmx,25.02658818
LIMA,2005,Jan,pr,0.0031815
LIMA,2005,Jan,tmmx,26.25814294
LIMA,2005,Feb,pr,0.0518793
LIMA,2005,Feb,tmmx,27.431268160000002
LIMA,2005,Mar,pr,0.0525237
LIMA,2005,Mar,tmmx,27.078811050000002
LIMA,2005,Apr,pr,1.2739214
LIMA,2005,Apr,tmmx,25.763694120000004
LIMA,2005,May,pr,0
LIMA,2005,May,tmmx,22.436510860000002
LIMA,2005,Jun,pr,0
LIMA,2005,Jun,tmmx,20.41570892
LIMA,2005,Jul,pr,0
LIMA,2005,Jul,tmmx,19.72271767
LIMA,2005,Aug,pr,0
LIMA,2005,Aug,tmmx,19.602609740000002
LIMA,2005,Sep,pr,0
LIMA,2005,Sep,tmmx,19.9678554
LIMA,2005,Oct,pr,0
LIMA,2005,Oct,tmmx,21.29131823
LIMA,2005,Nov,pr,0.3952144
LIMA,2005,Nov,tmmx,22.518878570000002
LIMA,2005,Dec,pr,0.003207
LIMA,2005,Dec,tmmx,24.49158899
LIMA,2006,Jan,pr,0.0200701
LIMA,2006,Jan,tmmx,26.192829619999998
LIMA,2006,Feb,pr,0.2410127
LIMA,2006,Feb,tmmx,27.457483420000003
LIMA,2006,Mar,pr,0.0031815
LIMA,2006,Mar,tmmx,27.095594410000004
LIMA,2006,Apr,pr,1.3892891
LIMA,2006,Apr,tmmx,25.27411241
LIMA,2006,May,pr,0
LIMA,2006,May,tmmx,22.263996700000003
LIMA,2006,Jun,pr,0
LIMA,2006,Jun,tmmx,20.688624720000004
LIMA,2006,Jul,pr,0
LIMA,2006,Jul,tmmx,20.182617790000002
LIMA,2006,Aug,pr,0
LIMA,2006,Aug,tmmx,20.40139488
LIMA,2006,Sep,pr,2.1284681
LIMA,2006,Sep,tmmx,20.44164255
LIMA,2006,Oct,pr,0.9201305
LIMA,2006,Oct,tmmx,22.147019890000003
LIMA,2006,Nov,pr,0.4040325
LIMA,2006,Nov,tmmx,23.43293836
LIMA,2006,Dec,pr,0
LIMA,2006,Dec,tmmx,25.11420517
LIMA,2007,Jan,pr,0.003207
LIMA,2007,Jan,tmmx,27.042334820000004
LIMA,2007,Feb,pr,7.2899979
LIMA,2007,Feb,tmmx,27.19819811
LIMA,2007,Mar,pr,0.0139273
LIMA,2007,Mar,tmmx,27.20214165
LIMA,2007,Apr,pr,1.6490201
LIMA,2007,Apr,tmmx,25.49130024
LIMA,2007,May,pr,0
LIMA,2007,May,tmmx,22.018657880000003
LIMA,2007,Jun,pr,0
LIMA,2007,Jun,tmmx,19.955918330000003
LIMA,2007,Jul,pr,0.7672403
LIMA,2007,Jul,tmmx,19.565910270000003
LIMA,2007,Aug,pr,0
LIMA,2007,Aug,tmmx,18.91053843
LIMA,2007,Sep,pr,0
LIMA,2007,Sep,tmmx,19.65936693
LIMA,2007,Oct,pr,0
LIMA,2007,Oct,tmmx,20.66228381
LIMA,2007,Nov,pr,0.3951889
LIMA,2007,Nov,tmmx,22.37232166
LIMA,2007,Dec,pr,0
LIMA,2007,Dec,tmmx,24.177172390000003
LIMA,2008,Jan,pr,0.0923497
LIMA,2008,Jan,tmmx,25.92979582
LIMA,2008,Feb,pr,0.1526378
LIMA,2008,Feb,tmmx,26.967432950000003
LIMA,2008,Mar,pr,0.0742771
LIMA,2008,Mar,tmmx,26.93276103
LIMA,2008,Apr,pr,1.6080315
